"No.","Radio ID","Name","Call Type","Call Alert"
"1","222","ITALIA","Group Call","None"
"2","22271","PUGLIA","Group Call","None"
"3","9","TG9 LOCAL","Group Call","None"
"4","22201","LAZIO","Group Call","None"
"5","22202","SARDEGNA","Group Call","None"
"6","22203","UMBRIA","Group Call","None"
"7","22211","LIGURIA","Group Call","None"
"8","22212","PIEMONTE","Group Call","None"
"9","22213","VAL D'AOSTA","Group Call","None"
"10","22221","LOMBARDIA","Group Call","None"
"11","22231","FRIULI V.G.","Group Call","None"
"12","22232","TRENTINO","Group Call","None"
"13","22233","VENETO","Group Call","None"
"14","22241","EMILIA ROMAGNA","Group Call","None"
"15","22251","TOSCANA","Group Call","None"
"16","22261","ABRUZZO","Group Call","None"
"17","22262","MARCHE","Group Call","None"
"18","22281","BASILICATA","Group Call","None"
"19","22282","CALABRIA","Group Call","None"
"20","22283","CAMPANIA","Group Call","None"
"21","22284","MOLISE","Group Call","None"
"22","22291","SICILIA","Group Call","None"
"23","2227","ROOM PUGLIA","Group Call","None"
"24","22299","ROOM ITALY","Group Call","None"
"25","222112","IT EMERGENZA 112","Group Call","None"
"26","22292","D_STAR - C4FM","Group Call","None"
"27","222775","TG VARESE","Group Call","None"
"28","22287","CLUSTER CISAR","Group Call","None"
"29","22486","GR GUARDIE GIUR.","Group Call","None"
"30","22877","Cluster REZIA SV","Group Call","None"
"31","4441","REFLECTOR VB","Group Call","None"
"32","9201","EURAO","Group Call","None"
"33","222383","NORD EST TG88","Group Call","None"
"34","222055","APP.LIG.PIEMONT.","Group Call","None"
"35","22480","DIGITAL MULTIPR","Group Call","None"
"36","22275","TG-22275","Group Call","None"
"37","22496","TG-22496","Group Call","None"
"38","22498","PIRS SICILIA","Group Call","None"
"39","222056","CLUSTER AGRIGENT","Group Call","None"
"40","222061","CLUSTER PALERMO","Group Call","None"
"41","222076","CLUSTER TRAPANI","Group Call","None"
"42","91","WORLD WIde","Group Call","None"
"43","92","EUROPEAN Wide","Group Call","None"
"44","4000","DISCONNECT","Group Call","None"
"45","2780","TG MALTA","Group Call","None"
"46","7771","TG7771","Group Call","None"
"47","222071","VILLA SAN GIOVAN","Group Call","None"
"48","222073","AGRO NOC SARNESE","Group Call","None"
"49","22244","TG-22244","Group Call","None"
"50","524","TG-524","Group Call","None"
"51","43039","TG-43039","Group Call","None"
"52","22249","TG-22249","Group Call","None"
"53","222444","TG-222444","Group Call","None"
"54","22206","ONDA TELEMATICA","Group Call","None"
"55","22288","IT A.R.I.","Group Call","None"
"56","22222","BRESCIA NETWORK","Group Call","None"
"57","222345","TG MARMOLADA","Group Call","None"
"58","7878","TG 7878","Group Call","None"
"59","222167","TG CASTELLAMARE","Group Call","None"
"60","22289","IT ERA","Group Call","None"
"61","222550","TG-222550","Group Call","None"
"62","22208","ITALY CENTRO","Group Call","None"
"63","222877","TG-222877","Group Call","None"
"64","22215","D2ALP","Group Call","None"
"65","1001","AIB","Group Call","None"
"66","88","TG88 Cluster","Group Call","None"
"67","222999","APRS 222999","Private Call","None"
"68","222997","Parrot 222997","Private Call","None"
"69","2221707","Enzo","Private Call","Online Alert"
