"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide"
"1","Analog","Diretta|AL-Casale|AL-IR1ZZZ-Bric|AL-Fracconalto|AL-IR1ZXO-Novi|AL-Acqui|AL-IR1ZWG-Giarol|AL-Belforte|AL-IR1UIY-Giarol|AL-IR1ZWB-M.Giar|AL-Coniolo|AL-IR1ZWG-M|AL-IZ1MLJ-Lussit|AT-Asti|AT-IR1ZWN-Roccav|AT-IR1J-M.Dagno-|AT-IR1ZXV-Costig|AT-IR1ZZI-Mongar|AT-IR1ZZI-Coccon|GE-IR1ZZA-Sestri|GE-IR1W-M.Figogn|GE-IR1T-M.Fasce|GE-IR1ED-Rapallo|GE-IR1UR-Rapallo|GE-IR1UT-M.Fasce|GE-IR1UF-M.Figog|GE-IR1ZZP-Monegl|GE-IU1KTF-Sant'O|GE-IR1UBZ-M.Porc|GE-IR1ZYD-Monte|GE-IR1UAW-Ruta|GE-IR1ZXU-M.Tele|GE-IR1ZXM-M.Fasc|GE-IR1ZXT-M.Tele|SV-Cosseria|SV-IR1ZWJ-San Gi|SV-Bardineto|SV-IR1X-M.Beigua|SV-IR1UGS-Pizzo|SV-M.Tirasso|SV-IR1V-Bergeggi|SV-Finale|SV-M.Beigua|SV-Spotorno|SV-IR1ZWI-Murial|SV-IR1UV-Finale|SV-Albenga|SV-IQ1LA-Loano","145.37500|145.68750|145.75000|145.76250|145.77500|430.22500|430.23750|430.36250|430.76250|431.31250|431.46250|431.47500|431.56250|145.63750|145.66250|145.71250|145.73750|430.12500|430.33750|145.61250|145.70000|145.72500|145.75000|430.10000|430.12500|430.15000|430.16250|430.27500|430.57500|430.73750|430.91250|431.22500|431.23750|431.25000|145.63750|145.65000|145.66250|145.67500|145.73750|145.76250|145.77500|145.78750|430.03750|430.07500|430.13750|430.18750|430.47500|431.31250","145.37500|145.08750|145.15000|145.16250|145.17500|431.82500|431.83750|431.96250|435.76250|432.91250|433.06250|433.07500|433.16250|145.03750|145.06250|145.11250|145.13750|431.72500|431.93750|145.01250|145.10000|145.12500|145.15000|431.70000|431.72500|431.75000|431.76250|431.87500|435.57500|435.73750|435.91250|432.82500|432.83750|432.85000|145.03750|145.05000|145.06250|145.07500|145.13750|145.16250|145.17500|145.18750|435.03750|431.67500|431.73750|431.78750|435.47500|432.91250","AL-Casale","145.68750","145.08750","Diretta","145.37500","145.37500",""
"2","DigiAL","AL-IR1UGF-Worldw|AL-IR1UGF-Europe|AL-IR1UGF-Italia|AL-IR1UGF-Discon|AL-IR1UGF-Loca1|AL-IR1UGF-Cluste|AL-IR1UGF-Loca2|IR1UGF Parrot|IR1UGF APRS|AL-IK1HJT-Worldw|AL-IK1HJT-Europe|AL-IK1HJT-Italia|AL-IK1HJT-Discon|AL-IK1HJT-Loca1|AL-IK1HJT-Cluste|AL-IK1HJT-Loca2|IK1HJT Parrot|IK1HJT APRS|IR1UIZ TG 88|IR1UIZ TG 222|IR1UIZ TG 222999|AL-IR1UIZ-Worldw|AL-IR1UIZ-Europe|AL-IR1UIZ-Italia|AL-IR1UIZ-Discon|AL-IR1UIZ-Loca1|AL-IR1UIZ-Cluste|AL-IR1UIZ-Loca2|IR1UIZ Parrot|IR1UIZ APRS","431.22500|431.22500|431.22500|431.22500|431.22500|431.22500|431.22500|431.22500|431.22500|430.30000|430.30000|430.30000|430.30000|430.30000|430.30000|430.30000|430.30000|430.30000|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750","432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|437.90000|437.90000|437.90000|437.90000|437.90000|437.90000|437.90000|437.90000|437.90000|433.03750|433.03750|433.03750|433.03750|433.03750|433.03750|433.03750|433.03750|433.03750|433.03750|433.03750|433.03750","AL-IR1UGF-Cluste","431.22500","432.82500","IR1UGF APRS","431.22500","432.82500",""
"3","AIB","PC Ponte|PC Diretta|AIB Diretta 1|AIB Diretta 2|AIB Diretta 3|AIB Rpt Ana A|AIB Rpt Ana B|AIB Rpt Ana C|AIB Rpt Ana D|AIB Rpt Ana E|AIB Rpt Ana F|AIB Rpt Ana G|RIP A DMR 1|RIP A DMR 2|RIP B DMR 1|RIP B DMR 2|RIP C DMR 1|RIP C DMR 2|RIP D DMR 1|RIP D DMR 2|RIP E DMR 1|RIP E DMR 2|RIP F DMR 1|RIP F DMR 2|RIP G DMR 1|RIP G DMR 2|DIR DMR 1|DIR DMR 2","173.71250|173.71250|160.53750|169.96250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250|162.46250","169.11250|173.71250|160.53750|169.96250|162.46250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|157.86250|162.46250|162.46250","AIB Diretta 1","160.53750","160.53750","DIR DMR 1","162.46250","162.46250",""
"4","Emergenza","VVFF|AeroAl-1|AeroAl-2|118 AL|Elisoccorso|118 SV|115 AL 1|115 AL 2|115 AL 3|115 SV 1|115 SV 2","440.00000|172.95000|173.05000|460.05000|460.30000|460.07500|422.73125|444.65000|434.71250|434.80000|444.46250","440.00000|172.95000|173.05000|460.05000|460.30000|460.07500|422.73125|444.65000|434.71250|434.80000|444.46250","AeroAl-1","172.95000","172.95000","VVFF","440.00000","440.00000",""
"5","pmr","PMR 1 (Monitor)|PMR 2|PMR 3|PMR 4 (Droni)|PMR 5 (Scout)|PMR 6|PMR 7|PMR 8 (Chiam)|PMR 9|PMR 10|PMR 11|PMR 12|PMR 13|PMR 14|PMR 15|PMR 16","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","PMR 2","446.01875","446.01875","PMR 1 (Monitor)","446.00625","446.00625",""
"6","lpd","LPD 1|LPD 2|LPD 3|LPD 4|LPD 5|LPD 6|LPD 7|LPD 8|LPD 9|LPD 10|LPD 11|LPD 12|LPD 13|LPD 14|LPD 15|LPD 16|LPD 17|LPD 18|LPD 19|LPD 20|LPD 21|LPD 22|LPD 23|LPD 24|LPD 25|LPD 26|LPD 27|LPD 28|LPD 29|LPD 30|LPD 31|LPD 32|LPD 33|LPD 34|LPD 35|LPD 36|LPD 37|LPD 38|LPD 39|LPD 40|LPD 41|LPD 42|LPD 43|LPD 44|LPD 45|LPD 46|LPD 47|LPD 48|LPD 49|LPD 50|LPD 51|LPD 52|LPD 53|LPD 54|LPD 55|LPD 56|LPD 57|LPD 58|LPD 59|LPD 60|LPD 61|LPD 62|LPD 63|LPD 64|LPD 65|LPD 66|LPD 67|LPD 68|LPD 69","433.07500|433.10000|433.12500|433.15000|433.17500|433.20000|433.22500|433.25000|433.27500|433.30000|433.32500|433.35000|433.37500|433.40000|433.42500|433.45000|433.47500|433.50000|433.52500|433.55000|433.57500|433.60000|433.62500|433.65000|433.67500|433.70000|433.72500|433.75000|433.77500|433.80000|433.82500|433.85000|433.87500|433.90000|433.92500|433.95000|433.97500|434.00000|434.02500|434.05000|434.07500|434.10000|434.12500|434.15000|434.17500|434.20000|434.22500|434.25000|434.27500|434.30000|434.32500|434.35000|434.37500|434.40000|434.42500|434.45000|434.47500|434.50000|434.52500|434.55000|434.57500|434.60000|434.62500|434.65000|434.67500|434.70000|434.72500|434.75000|434.77500","433.07500|433.10000|433.12500|433.15000|433.17500|433.20000|433.22500|433.25000|433.27500|433.30000|433.32500|433.35000|433.37500|433.40000|433.42500|433.45000|433.47500|433.50000|433.52500|433.55000|433.57500|433.60000|433.62500|433.65000|433.67500|433.70000|433.72500|433.75000|433.77500|433.80000|433.82500|433.85000|433.87500|433.90000|433.92500|433.95000|433.97500|434.00000|434.02500|434.05000|434.07500|434.10000|434.12500|434.15000|434.17500|434.20000|434.22500|434.25000|434.27500|434.30000|434.32500|434.35000|434.37500|434.40000|434.42500|434.45000|434.47500|434.50000|434.52500|434.55000|434.57500|434.60000|434.62500|434.65000|434.67500|434.70000|434.72500|434.75000|434.77500","LPD 2","433.10000","433.10000","LPD 1","433.07500","433.07500",""
"7","CRI","CRI 01|CRI 02|CRI 03|CRI 04|CRI 05|CRI 06|CRI 07|CRI 08|CRI 09|CRI 10|CRI 11|CRI 12|CRI 13|CRI 14|CRI 15|CRI 16|CRI 17|CRI 18|CRI 19|CRI 20|CRI 21|CRI 22|CRI 23|CRI 24","171.97500|172.00000|173.25000|173.27500|173.30000|173.32500|171.97500|172.00000|172.25000|172.27500|172.30000|172.32500|171.98750|172.01250|173.26250|173.28750|173.31250|173.33750|171.98750|172.01250|173.26250|173.28750|173.31250|173.33750","157.32500|167.40000|168.65000|168.67500|168.70000|168.72500|171.97500|172.00000|172.25000|172.27500|172.30000|172.32500|167.38750|167.41250|168.66250|168.68750|168.71250|168.73750|171.98750|172.01250|173.26250|173.28750|173.31250|173.33750","CRI 01","171.97500","157.32500","CRI 02","172.00000","167.40000",""
"8","D2ALP","ARQUATA Enzo|ACQUI|PONZONE|CREMOLINO|SAVONA|GRANAROLO|M.TE FASCE|P.SSO dei GIOVI|M.TE GRANDE|M.TE BIGNONE|S.REMO POGGIO|S.REMO|TRIORA","430.30000|430.37500|431.58750|432.88750|430.52500|430.41250|432.90000|435.43750|431.88750|431.65000|435.96250|435.41250|430.41250","439.30000|431.97500|433.18750|431.28750|432.12500|435.41250|431.30000|439.30000|430.28750|430.05000|430.96250|430.41250|435.41250","ARQUATA Enzo","430.30000","439.30000","ARQUATA Enzo","430.30000","439.30000",""
"9","Marini","CH-01|CH-02|CH-03|CH-04|CH-05|CH-06|CH-07|CH-08|CH-09|CH-10|CH-11|CH-12|CH-13|CH-14|CH-15|CH-16|CH-17|CH-18|CH-19|CH-20|CH-21|CH-22|CH-23|CH-24|CH-25|CH-26|CH-27|CH-28|CH-60|CH-61|CH-62|CH-63|CH-64|CH-65|CH-66|CH-67|CH-68|CH-69|CH-70|CH-71|CH-72|CH-73|CH-74|CH-75|CH-76|CH-77|CH-78|CH-79|CH-80|CH-81|CH-82|CH-83|CH-84|CH-85|CH-86|CH-87|CH-88","156.05000|156.10000|156.15000|156.20000|156.25000|156.30000|156.35000|156.40000|156.45000|156.50000|156.55000|156.60000|156.65000|156.70000|156.75000|156.80000|156.85000|156.90000|156.95000|157.00000|157.05000|157.10000|157.15000|157.20000|157.25000|157.30000|157.35000|157.40000|156.02500|156.07500|156.12500|156.17500|156.22500|156.27500|156.32500|156.37500|156.42500|156.47500|156.52500|156.57500|156.62500|156.67500|156.72500|156.77500|156.82500|156.87500|156.92500|156.97500|157.02500|157.07500|157.12500|157.17500|157.22500|157.27500|157.32500|157.37500|157.42500","160.65000|160.70000|160.75000|160.80000|160.85000|156.30000|160.95000|156.40000|156.45000|156.50000|156.55000|156.60000|156.65000|156.70000|156.75000|156.80000|156.85000|161.50000|161.55000|161.60000|161.65000|161.70000|161.75000|161.80000|161.85000|161.90000|161.95000|162.00000|160.62500|160.67500|160.72500|160.77500|160.82500|160.87500|160.92500|156.37500|156.42500|156.47500|156.52500|156.57500|156.62500|156.67500|156.72500|156.77500|156.82500|156.87500|161.52500|161.57500|161.62500|161.67500|161.72500|161.77500|161.82500|161.87500|161.92500|157.37500|157.42500","CH-02","156.10000","160.70000","CH-01","156.05000","160.65000",""
"10","vhf-uhf","RV46|RV47|RV48|RV49|RV50|RV51|RV52|RV53|RV54|RV55|RV56|RV57|RV58|RV59|RV60|RV61|RV62|RV63|RU001|RU002|RU003|RU004|RU005|RU006|RU007|RU008|RU009|RU010|RU011|RU012|RU013|RU014|RU015|RU016|RU017|RU018|RU019|RU020|RU021|RU022|RU023|RU024|RU025|RU026|RU027|RU028|RU029|RU030|RU031|RU098|RU099|RU100|RU101|RU102|RU103|RU104|RU105|RU106|RU107|RU108|RU109|RU110|RU111|RU112|RU113|RU114|RU115|RU116|RU117|RU118|RU119|RU120|RU121|RU122|RU123|RU124|RU125|RU126|RU127|RU128","145.57500|145.58750|145.60000|145.61250|145.62500|145.63750|145.65000|145.66250|145.67500|145.68750|145.70000|145.71250|145.72500|145.73750|145.75000|145.76250|145.77500|145.78750|430.01250|430.02500|430.03750|430.05000|430.06250|430.07500|430.08750|430.10000|430.11250|430.12500|430.13750|430.15000|430.16250|430.17500|430.18750|430.20000|430.21250|430.22500|430.23750|430.25000|430.26250|430.27500|430.28750|430.30000|430.31250|430.32500|430.33750|430.35000|430.36250|430.37500|430.38750|431.22500|431.23750|431.25000|431.26250|431.27500|431.28750|431.30000|431.31250|431.32500|431.33750|431.35000|431.36250|431.37500|431.38750|431.40000|431.41250|431.42500|431.43750|431.45000|431.46250|431.47500|431.48750|431.50000|431.51250|431.52500|431.53750|431.55000|431.56250|431.57500|431.58750|431.60000","144.97500|144.98750|145.00000|145.01250|145.02500|145.03750|145.05000|145.06250|145.07500|145.08750|145.10000|145.11250|145.12500|145.13750|145.15000|145.16250|145.17500|145.18750|431.61250|431.62500|431.63750|431.65000|431.66250|431.67500|431.68750|431.70000|431.71250|431.72500|431.73750|431.75000|431.76250|431.77500|431.78750|431.80000|431.81250|431.82500|431.83750|431.85000|431.86250|431.87500|431.88750|431.90000|431.91250|431.92500|431.93750|431.95000|431.96250|431.97500|431.98750|432.82500|432.83750|432.85000|432.86250|432.87500|432.88750|432.90000|432.91250|432.92500|432.93750|432.95000|432.96250|432.97500|432.98750|433.00000|433.01250|433.02500|433.03750|433.05000|433.06250|433.07500|433.08750|433.10000|433.11250|433.12500|433.13750|433.15000|433.16250|433.17500|433.18750|433.20000","RV47","145.58750","144.98750","RV46","145.57500","144.97500",""
