"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","RX Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind","TxCC"
"1","Diretta","145.37500","145.37500","A-Analog","High","12.5K","Off","Off","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","Analog","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"2","VR-IR3ZWK-BoscoC","145.72500","145.12500","A-Analog","Mid","12.5K","Off","94.8","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0.00000","Off","0","1","0","0","0","0","0","0","0","0","0","1"
"3","VR-IR3ZYT-Pastel","145.77500","145.17500","A-Analog","Mid","12.5K","Off","94.8","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0.00000","Off","0","1","0","0","0","0","0","0","0","0","0","1"
"4","A-VRRU1Verona","430.02500","431.62500","A-Analog","Mid","12.5K","Off","94.8","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0.00000","Off","0","1","0","0","0","0","0","0","0","0","0","1"
"5","VR-IR3ZYM-Baldo","430.05000","431.65000","A-Analog","Mid","12.5K","Off","94.8","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0.00000","Off","0","1","0","0","0","0","0","0","0","0","0","1"
"6","A-VRRU11Martino","430.27500","431.87500","A-Analog","Mid","12.5K","Off","94.8","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0.00000","Off","0","1","0","0","0","0","0","0","0","0","0","1"
"7","VR-IR3UX-Tomba","430.41250","435.41250","A-Analog","Mid","12.5K","Off","94.8","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0.00000","Off","0","1","0","0","0","0","0","0","0","0","0","1"
"8","PC Ponte","173.71250","169.11250","A-Analog","High","12.5K","Off","Off","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"9","PC Diretta","173.71250","173.71250","A-Analog","High","12.5K","Off","Off","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"10","Channel 4","440.00000","440.00000","D-Digital","High","12.5K","Off","Off","ITALIA","Group Call","222","IZ7XXX","Always","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"11","AIB Diretta 1","160.53750","160.53750","A-Analog","High","12.5K","Off","Off","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"12","AIB Diretta 2","169.96250","169.96250","A-Analog","High","12.5K","110.9","110.9","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"13","AIB Diretta 3","162.46250","162.46250","A-Analog","High","12.5K","110.9","110.9","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"14","AIB Rpt Ana A","162.46250","157.86250","A-Analog","High","12.5K","123.0","123.0","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"15","AIB Rpt Ana B","162.46250","157.86250","A-Analog","High","12.5K","162.2","162.2","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"16","AIB Rpt Ana C","162.46250","157.86250","A-Analog","High","12.5K","94.8","94.8","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"17","AIB Rpt Ana D","162.46250","157.86250","A-Analog","High","12.5K","118.8","118.8","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"18","AIB Rpt Ana E","162.46250","157.86250","A-Analog","High","12.5K","88.5","88.5","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"19","AIB Rpt Ana F","162.46250","157.86250","A-Analog","High","12.5K","107.2","107.2","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","AIB","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0.00000","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"20","RV46","145.57500","144.97500","A-Analog","High","12.5K","Off","Off","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","2511.0","1","Off","Off","Off","Off","Off","Off","1","0.00000","Off","0","1","0","0","0","0","0","0","0","0","0","1"
"21","RV47","145.58750","144.98750","A-Analog","High","12.5K","Off","Off","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","2511.0","1","Off","Off","Off","Off","Off","Off","1","0.00000","Off","0","1","0","0","0","0","0","0","0","0","0","1"
"22","RV48","145.60000","145.00000","A-Analog","High","12.5K","Off","Off","ITALIA","Group Call","222","IZ7XXX","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","2511.0","1","Off","Off","Off","Off","Off","Off","1","0.00000","Off","0","1","0","0","0","0","0","0","0","0","0","1"
