"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide"
"9","VHF-UHF","20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99","145.57500|145.58750|145.60000|145.61250|145.62500|145.63750|145.65000|145.66250|145.67500|145.68750|145.70000|145.71250|145.72500|145.73750|145.75000|145.76250|145.77500|145.78750|430.01250|430.02500|430.03750|430.05000|430.06250|430.07500|430.08750|430.10000|430.11250|430.12500|430.13750|430.15000|430.16250|430.17500|430.18750|430.20000|430.21250|430.22500|430.23750|430.25000|430.26250|430.27500|430.28750|430.30000|430.31250|430.32500|430.33750|430.35000|430.36250|430.37500|430.38750|431.22500|431.23750|431.25000|431.26250|431.27500|431.28750|431.30000|431.31250|431.32500|431.33750|431.35000|431.36250|431.37500|431.38750|431.40000|431.41250|431.42500|431.43750|431.45000|431.46250|431.47500|431.48750|431.50000|431.51250|431.52500|431.53750|431.55000|431.56250|431.57500|431.58750|431.60000","144.97500|144.98750|145.00000|145.01250|145.02500|145.03750|145.05000|145.06250|145.07500|145.08750|145.10000|145.11250|145.12500|145.13750|145.15000|145.16250|145.17500|145.18750|431.61250|431.62500|431.63750|431.65000|431.66250|431.67500|431.68750|431.70000|431.71250|431.72500|431.73750|431.75000|431.76250|431.77500|431.78750|431.80000|431.81250|431.82500|431.83750|431.85000|431.86250|431.87500|431.88750|431.90000|431.91250|431.92500|431.93750|431.95000|431.96250|431.97500|431.98750|432.82500|432.83750|432.85000|432.86250|432.87500|432.88750|432.90000|432.91250|432.92500|432.93750|432.95000|432.96250|432.97500|432.98750|433.00000|433.01250|433.02500|433.03750|433.05000|433.06250|433.07500|433.08750|433.10000|433.11250|433.12500|433.13750|433.15000|433.16250|433.17500|433.18750|433.20000","20","145.57500","144.97500","38","430.01250","431.61250",""
"10","LPD_PMR","100|101|102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120|121|122|123|124|125|126|127|128|129|130|131|132|133|134|135|136|137|138|139|140|141|142|143|144|145|146|147|148|149|150|151|152|153|154|155|156|157|158|159|160|161|162|163|164|165|166|167|168|169|170|171|172|173|174|175|176|427|428|429|430|431|432|433|434","433.07500|433.10000|433.12500|433.15000|433.17500|433.20000|433.22500|433.25000|433.27500|433.30000|433.32500|433.35000|433.37500|433.40000|433.42500|433.45000|433.47500|433.50000|433.52500|433.55000|433.57500|433.60000|433.62500|433.65000|433.67500|433.70000|433.72500|433.75000|433.77500|433.80000|433.82500|433.85000|433.87500|433.90000|433.92500|433.95000|433.97500|434.00000|434.02500|434.05000|434.07500|434.10000|434.12500|434.15000|434.17500|434.20000|434.22500|434.25000|434.27500|434.30000|434.32500|434.35000|434.37500|434.40000|434.42500|434.45000|434.47500|434.50000|434.52500|434.55000|434.57500|434.60000|434.62500|434.65000|434.67500|434.70000|434.72500|434.75000|434.77500|446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","433.07500|433.10000|433.12500|433.15000|433.17500|433.20000|433.22500|433.25000|433.27500|433.30000|433.32500|433.35000|433.37500|433.40000|433.42500|433.45000|433.47500|433.50000|433.52500|433.55000|433.57500|433.60000|433.62500|433.65000|433.67500|433.70000|433.72500|433.75000|433.77500|433.80000|433.82500|433.85000|433.87500|433.90000|433.92500|433.95000|433.97500|434.00000|434.02500|434.05000|434.07500|434.10000|434.12500|434.15000|434.17500|434.20000|434.22500|434.25000|434.27500|434.30000|434.32500|434.35000|434.37500|434.40000|434.42500|434.45000|434.47500|434.50000|434.52500|434.55000|434.57500|434.60000|434.62500|434.65000|434.67500|434.70000|434.72500|434.75000|434.77500|446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","103","433.15000","433.15000","169","446.00625","446.00625",""
"11","MARINI","177|178|179|180|181|182|183|184|185|186|187|188|189|190|191|192|193|194|195|196|197|198|199|200|201|202|203|204|205|206|207|208|209|210|211|212|213|214|215|216|217|218|219|220|221|222|223|224|225|226|227|228|229|230|231|232|233","156.05000|156.10000|156.15000|156.20000|156.25000|156.30000|156.35000|156.40000|156.45000|156.50000|156.55000|156.60000|156.65000|156.70000|156.75000|156.80000|156.85000|156.90000|156.95000|157.00000|157.05000|157.10000|157.15000|157.20000|157.25000|157.30000|157.35000|157.40000|156.02500|156.07500|156.12500|156.17500|156.22500|156.27500|156.32500|156.37500|156.42500|156.47500|156.52500|156.57500|156.62500|156.67500|156.72500|156.77500|156.82500|156.87500|156.92500|156.97500|157.02500|157.07500|157.12500|157.17500|157.22500|157.27500|157.32500|157.37500|157.42500","160.65000|160.70000|160.75000|160.80000|160.85000|156.30000|160.95000|156.40000|156.45000|156.50000|156.55000|156.60000|156.65000|156.70000|156.75000|156.80000|156.85000|161.50000|161.55000|161.60000|161.65000|161.70000|161.75000|161.80000|161.85000|161.90000|161.95000|162.00000|160.62500|160.67500|160.72500|160.77500|160.82500|160.87500|160.92500|156.37500|156.42500|156.47500|156.52500|156.57500|156.62500|156.67500|156.72500|156.77500|156.82500|156.87500|161.52500|161.57500|161.62500|161.67500|161.72500|161.77500|161.82500|161.87500|161.92500|157.37500|157.42500","177","156.05000","160.65000","177","156.05000","160.65000",""
"13","Analog-AL","1|245|246|247|248|249|250|251|252|253|254|255|256","145.37500|145.68750|145.75000|145.76250|145.77500|430.22500|430.23750|430.36250|430.76250|431.31250|431.46250|431.47500|431.56250","145.37500|145.08750|145.15000|145.16250|145.17500|431.82500|431.83750|431.96250|435.76250|432.91250|433.06250|433.07500|433.16250","248","145.77500","145.17500","245","145.68750","145.08750",""
"14","Analog-AT","257|258|259|260|261|262","145.63750|145.66250|145.71250|145.73750|430.12500|430.33750","145.03750|145.06250|145.11250|145.13750|431.72500|431.93750","257","145.63750","145.03750","258","145.66250","145.06250",""
"15","Analog-GE","263|264|265|266|267|268|269|270|271|272|273|274|275|276|277","145.61250|145.70000|145.72500|145.75000|430.10000|430.12500|430.15000|430.16250|430.27500|430.57500|430.73750|430.91250|431.22500|431.23750|431.25000","145.01250|145.10000|145.12500|145.15000|431.70000|431.72500|431.75000|431.76250|431.87500|435.57500|435.73750|435.91250|432.82500|432.83750|432.85000","268","430.12500","431.72500","263","145.61250","145.01250",""
"16","Analog-SV","278|279|280|281|282|283|284|285|286|287|288|289|290|291","145.63750|145.65000|145.66250|145.67500|145.73750|145.76250|145.77500|145.78750|430.03750|430.07500|430.13750|430.18750|430.47500|431.31250","145.03750|145.05000|145.06250|145.07500|145.13750|145.16250|145.17500|145.18750|435.03750|431.67500|431.73750|431.78750|435.47500|432.91250","278","145.63750","145.03750","279","145.65000","145.05000",""
"17","DMR-AL","292|436|437|438|439|440|441|442|443|444|445|446|447|448|449|450|451|452|453|454|455|456|457|458|459|460|461|462|463|464|465|466|467|468|469|470|471|472|473|474|475|476|477","430.30000|430.28750|430.28750|430.28750|430.28750|430.28750|430.28750|430.28750|431.22500|431.22500|431.22500|431.22500|431.22500|431.22500|431.22500|431.28750|431.28750|431.28750|431.28750|431.28750|431.28750|431.28750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.50000|431.50000|431.50000|431.50000|431.50000|431.50000|431.50000|431.52500|431.52500|431.52500|431.52500|431.52500|431.52500|431.52500","437.90000|431.88750|431.88750|431.88750|431.88750|431.88750|431.88750|431.88750|432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|432.88750|432.88750|432.88750|432.88750|432.88750|432.88750|432.88750|433.03750|433.03750|433.03750|433.03750|433.03750|433.03750|433.03750|433.10000|433.10000|433.10000|433.10000|433.10000|433.10000|433.10000|433.12500|433.12500|433.12500|433.12500|433.12500|433.12500|433.12500","436","430.28750","431.88750","437","430.28750","431.88750",""
"18","DMR-GE","478|479|480|481|482|483|484|485|486|487|488|489|490|491|492|493|494|495|496|497|498|499|500|501|502|503|504|505|506|507|508|509|510|511|512|513|514|515|516|517|518|519|520|521|522|523|524|525|526","430.41250|430.41250|430.41250|430.41250|430.41250|430.41250|430.41250|430.52500|430.52500|430.52500|430.52500|430.52500|430.52500|430.52500|430.72500|430.72500|430.72500|430.72500|430.72500|430.72500|430.72500|430.80000|430.80000|430.80000|430.80000|430.80000|430.80000|430.80000|430.86250|430.86250|430.86250|430.86250|430.86250|430.86250|430.86250|430.97500|430.97500|430.97500|430.97500|430.97500|430.97500|430.97500|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000|431.30000","435.41250|435.41250|435.41250|435.41250|435.41250|435.41250|435.41250|435.52500|435.52500|435.52500|435.52500|435.52500|435.52500|435.52500|435.72500|435.72500|435.72500|435.72500|435.72500|435.72500|435.72500|435.80000|435.80000|435.80000|435.80000|435.80000|435.80000|435.80000|435.86250|435.86250|435.86250|435.86250|435.86250|435.86250|435.86250|435.97500|435.97500|435.97500|435.97500|435.97500|435.97500|435.97500|432.90000|432.90000|432.90000|432.90000|432.90000|432.90000|432.90000","478","430.41250","435.41250","479","430.41250","435.41250",""
"19","DMR-SV","527|528|529|530|531|532|533|534|535|536|537|538|539|540|541|542|543|544|545|546|547|548|549|550|551|552|553|554|555|556|557|558|559|560|561","430.31250|430.31250|430.31250|430.31250|430.31250|430.31250|430.31250|430.52500|430.52500|430.52500|430.52500|430.52500|430.52500|430.52500|430.88750|430.88750|430.88750|430.88750|430.88750|430.88750|430.88750|430.93750|430.93750|430.93750|430.93750|430.93750|430.93750|430.93750|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000","435.31250|435.31250|435.31250|435.31250|435.31250|435.31250|435.31250|435.52500|435.52500|435.52500|435.52500|435.52500|435.52500|435.52500|435.88750|435.88750|435.88750|435.88750|435.88750|435.88750|435.88750|435.93750|435.93750|435.93750|435.93750|435.93750|435.93750|435.93750|433.05000|433.05000|433.05000|433.05000|433.05000|433.05000|433.05000","527","430.31250","435.31250","528","430.31250","435.31250",""
